EqSat_no_div_no_pow,no_div_no_pow_random_terms_small,3.322,3.664,3.668,3.668,3.668,3.668,3.668,3.668,3.668
EqSat_no_div_no_pow_KBC_100_extended,no_div_no_pow_random_terms_small,3.256,3.772,3.828,3.856,3.856,3.856,3.856,3.856,3.856
EqSat_no_div_no_pow_KBC_100_extended_no_unorderable,no_div_no_pow_random_terms_small,3.464,3.826,3.854,3.856,3.856,3.856,3.856,3.856,3.856
EqSat_no_div_no_pow_KBC_100,no_div_no_pow_random_terms_small,3.65,3.814,3.816,3.816,3.816,3.816,3.816,3.816,3.816
EqSat_no_div_no_pow_KBC_100_no_unorderable,no_div_no_pow_random_terms_small,3.738,3.762,3.762,3.762,3.762,3.762,3.762,3.762,3.762
EqSat_no_div_no_pow,no_div_no_pow_random_terms_large,9.536,11.772,12.456,13.376,13.508,13.572,13.588,13.608,13.608
EqSat_no_div_no_pow_KBC_100_extended,no_div_no_pow_random_terms_large,8.824,11.428,12.16,13.688,13.972,14.1,14.108,14.132,14.132
EqSat_no_div_no_pow_KBC_100_extended_no_unorderable,no_div_no_pow_random_terms_large,8.816,11.856,13.128,13.86,13.996,14.092,14.104,14.128,14.132
EqSat_no_div_no_pow_KBC_100,no_div_no_pow_random_terms_large,9.308,12.644,13.392,13.96,14.032,14.104,14.108,14.12,14.124
EqSat_no_div_no_pow_KBC_100_no_unorderable,no_div_no_pow_random_terms_large,10.872,13.028,13.392,13.68,13.72,13.744,13.752,13.764,13.764
EqSat_no_div_no_pow,no_div_no_pow_random_terms_huge,16.008,25.888,26.984,29.488,30.224,31.184,31.416,31.8,31.824
EqSat_no_div_no_pow_KBC_100_extended,no_div_no_pow_random_terms_huge,18.664,21.232,26.768,30.472,30.84,32.536,32.632,33.064,33.208
EqSat_no_div_no_pow_KBC_100_extended_no_unorderable,no_div_no_pow_random_terms_huge,18.952,26.448,26.88,30.584,31.6,32.488,32.72,33.056,33.248
EqSat_no_div_no_pow_KBC_100,no_div_no_pow_random_terms_huge,18.024,26.032,28.752,31.152,31.688,32.608,32.84,33.128,33.184
EqSat_no_div_no_pow_KBC_100_no_unorderable,no_div_no_pow_random_terms_huge,18.536,28.192,29.368,31.168,31.488,32.064,32.128,32.288,32.352
EqSat_base,random_terms_small,2.632,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81
EqSat_KBC_150_extended_no_unorderable,random_terms_small,2.636,2.87,2.902,2.908,2.908,2.908,2.908,2.908,2.908
EqSat_sep_div_KBC_150_extended_no_unorderable,random_terms_small,2.756,2.926,2.936,2.94,2.94,2.94,2.94,2.94,2.94
EqSat_sep_div_plus_KBC_150_extended_no_unorderable,random_terms_small,2.776,2.932,2.938,2.94,2.94,2.94,2.94,2.94,2.94
EqSat_base,random_terms_large,7.332,9.372,9.584,9.728,9.728,9.728,9.728,9.728,9.728
EqSat_KBC_150_extended_no_unorderable,random_terms_large,6.852,9.464,9.94,10.284,10.3,10.324,10.324,10.324,10.324
EqSat_sep_div_KBC_150_extended_no_unorderable,random_terms_large,7.28,9.756,10.196,10.448,10.452,10.46,10.46,10.46,10.46
EqSat_sep_div_plus_KBC_150_extended_no_unorderable,random_terms_large,8.144,9.816,10.224,10.448,10.452,10.46,10.46,10.46,10.46
EqSat_base,random_terms_huge,13.56,21.416,22.512,23.24,23.376,23.408,23.424,23.448,23.448
EqSat_KBC_150_extended_no_unorderable,random_terms_huge,14.864,21.088,22.04,24.376,24.608,24.736,24.768,24.816,24.832
EqSat_sep_div_KBC_150_extended_no_unorderable,random_terms_huge,15.752,22.256,22.784,24.784,24.936,25.08,25.08,25.088,25.104
EqSat_sep_div_plus_KBC_150_extended_no_unorderable,random_terms_huge,17.056,22.728,23.232,24.808,24.912,25.056,25.056,25.064,
